gene	chromosome	arm
ENSG00000284616	1	p
ENSG00000260972	1	p
ENSG00000229280	1	p
EEF1DP6	1	p
ENSG00000232596	1	p
LINC01646	1	p
ENSG00000231510	1	p
LINC02782	1	p
ENSG00000272235	1	p
ENSG00000284694	1	p
ENSG00000224387	1	p
ENSG00000284674	1	p
LINC02781	1	p
ENSG00000224338	1	p
MTCYBP45	1	p
ENSG00000287727	1	p
ENSG00000215720	1	p
MFFP1	1	p
ENSG00000225931	1	p
ENSG00000229393	1	p
ENSG00000287586	1	p
ENSG00000227169	1	p
ENSG00000283356	1	p
ENSG00000225387	1	p
ENSG00000225196	1	p
RPL10P17	1	p
ENSG00000279625	1	p
ENSG00000285833	1	p
ENSG00000280222	1	p
ENSG00000285945	1	p
ENSG00000284666	1	p
ENSG00000234397	1	p
PPIAP34	1	p
ENSG00000233419	1	p
IFITM3P7	1	p
ENSG00000225011	1	p
ENSG00000284676	1	p
ENSG00000270927	1	p
ENSG00000230523	1	p
LINC01756	1	p
ENSG00000233234	1	p
ENSG00000189337	1	p
KAZN	1	p
ENSG00000283259	1	p
ENSG00000175147	1	p
TMEM51-AS1	1	p
ENSG00000230214	1	p
FTLP18	1	p
ENSG00000272420	1	p
ENSG00000236648	1	p
LINC02810	1	p
ENSG00000232273	1	p
FTH1P1	1	p
ENSG00000227527	1	p
ENSG00000230163	1	p
ENSG00000215895	1	p
HSPA5P1	1	p
ENSG00000274944	1	p
ENSG00000272078	1	p
CASZ1-AS1	1	p
ENSG00000230451	1	p
RPS29P6	1	p
ENSG00000231606	1	p
ENSG00000254553	1	p
ENSG00000284653	1	p
ENSG00000237749	1	p
RPS27P9	1	p
ENSG00000276747	1	p
PADI6	1	p
ENSG00000261781	1	p
LINC01654	1	p
ENSG00000224751	1	p
SHMT1P1	1	p
ENSG00000230585	1	p
PHB1P12	1	p
ENSG00000284989	1	p
ENSG00000231630	1	p
ENSG00000255811	1	p
ENSG00000225671	1	p
FCF1P6	1	p
ENSG00000236111	1	p
RPL6P1	1	p
ENSG00000236723	1	p
ENSG00000232467	1	p
TMA16P2	1	p
ENSG00000237130	1	p
MRPS6P2	1	p
ENSG00000232335	1	p
CLSPN-AS1	1	p
ENSG00000232762	1	p
ENSG00000284686	1	p
ENSG00000259818	1	p
CZIB-DT	1	p
ENSG00000234318	1	p
ENSG00000227485	1	p
ENSG00000236646	1	p
LAMTOR5P1	1	p
ENSG00000228929	1	p
RPS13P2	1	p
ENSG00000224570	1	p
ENSG00000224980	1	p
RPL23AP85	1	p
ENSG00000278967	1	p
ENSG00000233910	1	p
GTF2F2P2	1	p
ENSG00000287703	1	p
ENSG00000283039	1	p
KLF18	1	p
ENSG00000229294	1	p
DNAJC6-AS1	1	p
ENSG00000236973	1	p
GAPDHP51	1	p
ENSG00000277397	1	p
ENSG00000275350	1	p
ENSG00000285778	1	p
ENSG00000233407	1	p
ENSG00000280317	1	p
ENSG00000233994	1	p
GDI2P2	1	p
ENSG00000227556	1	p
ENSG00000285954	1	p
ENSG00000233333	1	p
RNFT1P2	1	p
ENSG00000234108	1	p
COX6A1P1	1	p
ENSG00000232676	1	p
ADH5P2	1	p
ENSG00000213579	1	p
RPL29P5	1	p
ENSG00000237852	1	p
ENSG00000270549	1	p
ENSG00000237163	1	p
ENSG00000229636	1	p
KRT8P21	1	p
ENSG00000233664	1	p
NDUFS5P3	1	p
ENSG00000213703	1	p
RPL13AP9	1	p
ENSG00000234144	1	p
COX6CP13	1	p
ENSG00000277670	1	p
ENSG00000227466	1	p
PDE4B-AS1	1	p
ENSG00000230498	1	p
ENSG00000224493	1	p
ENSG00000131233	1	p
GJA9	1	p
ENSG00000229225	1	p
ENSG00000225598	1	p
ENSG00000286548	1	p
ENSG00000272094	1	p
ENSG00000228853	1	p
NEGR1-IT1	1	p
ENSG00000288543	1	p
ENSG00000226084	1	p
RPL17P6	1	p
ENSG00000229332	1	p
PGBD4P8	1	p
ENSG00000227937	1	p
MTND2P30	1	p
ENSG00000229752	1	p
RPL7P10	1	p
ENSG00000233216	1	p
ENSG00000226804	1	p
ENSG00000230728	1	p
ENSG00000232846	1	p
SLC25A6P3	1	p
ENSG00000230787	1	p
PSAT1P3	1	p
ENSG00000285473	1	p
ENSG00000234578	1	p
ENSG00000229505	1	p
ENSG00000228187	1	p
ENSG00000236407	1	p
HMGB1P18	1	p
ENSG00000271949	1	p
ENSG00000227062	1	p
ENSG00000235011	1	p
ENSG00000213559	1	p
HNRNPA1P64	1	p
ENSG00000232882	1	p
PHKA1P1	1	p
