hgnc_symbol,chromosome
DDX11L16,1
DDX11L1,1
WASH7P,1
WASH7P,1
MIR6859-1,1
MIR1302-2HG,1
MIR1302-2,1
FAM138A,1
ENSG00000308361,1
ENSG00000290826,1
OR4G4P,1
OR4G11P,1
OR4F5,1
ENSG00000241860,1
ENSG00000239945,1
ENSG00000308314,1
CICP27,1
ENSG00000308579,1
ENSG00000268903,1
ENSG00000269981,1
ENSG00000239906,1
ENSG00000310528,1
RNU6-1100P,1
ENSG00000241599,1
DDX11L2,1
WASH9P,1
DDX11L17,1
WASH9P,1
MIR6859-2,1
ENSG00000308625,1
ENSG00000308544,1
ENSG00000292994,1
ENSG00000228463,1
ENSG00000306775,1
ENSG00000286448,1
RPL23AP24,1
ENSG00000236601,1
ENSG00000290385,1
WBP1LP7,1
OR4F29,1
ENSG00000237094,1
CICP7,1
ENSG00000250575,1
U6,1
ENSG00000293331,1
LINC00115,1
ENSG00000235146,1
MTND1P23,1
MTND2P28,1
MTCO1P12,1
ENSG00000278791,1
MTCO2P12,1
MTATP8P1,1
MTATP6P1,1
MTCO3P12,1
WBP1LP6,1
OR4F16,1
ENSG00000230021,1
CICP3,1
RNU6-1199P,1
ENSG00000229905,1
ENSG00000228327,1
LINC01409,1
ENSG00000285268,1
ENSG00000230092,1
FAM87B,1
LINC01128,1
ENSG00000297178,1
ENSG00000297224,1
FAM41C,1
TUBB8P11,1
ENSG00000283040,1
ENSG00000296088,1
ENSG00000272438,1
ENSG00000298603,1
LINC02593,1
SAMD11,1
NOC2L,1
KLHL17,1
PLEKHN1,1
PERM1,1
ENSG00000303599,1
ENSG00000272512,1
HES4,1
ENSG00000303623,1
ISG15,1
ENSG00000303614,1
ENSG00000231702,1
ENSG00000224969,1
AGRN,1
ENSG00000242590,1
ENSG00000291156,1
ENSG00000273443,1
PTPN11BP,1
ENSG00000304119,1
ENSG00000304169,1
RNF223,1
C1orf159,1
ENSG00000285812,1
ENSG00000299943,1
LINC01342,1
