HGNC symbol	Chromosome/scaffold name
MIPEP	13
LSP1P1	13
ZNF962P	13
	13
RPL17P51	13
HSPD1P9	13
C1QTNF9-AS1	13
MTCO3P2	13
RPS20P32	13
FABP3P2	13
MTUS2-AS1	13
KPNA3	13
CRYL1	13
LINC00562	13
RPS21P8	13
CAB39L	13
CHCHD2P11	13
TIMM9P3	13
LINC00457	13
RAD17P2	13
DNAJC15	13
GPR12	13
MTUS2-AS2	13
ZNF646P1	13
RPP40P2	13
GAMTP2	13
WASF3	13
POSTN	13
GNG5P5	13
FNDC3A	13
FHP1	13
FREM2-AS1	13
LHFPL6	13
POLR3KP1	13
SLC25A5P4	13
SPATA13-AS1	13
PRR20FP	13
DNAJA1P1	13
ELL2P3	13
AKAP11	13
MZT1	13
	21
CYCSP41	21
LINC00374	13
PROSER1	13
OR4K11P	21
CTBP2P10	21
RBPMSLP	21
SREK1IP1P1	21
MIR548XHG	21
FDPSP6	21
NEK4P1	21
PPIAP22	21
SLC6A6P1	21
CTBP2P9	21
CHODL-AS1	21
RPL37P21	13
ERICH6B	13
TUBAP1	21
TMPRSS15	21
LINC00547	13
RPL13AP25	13
MARK2P12	13
PIBF1	13
VN1R7P	21
ZNF299P	21
SNX19P1	21
SLC25A15P4	21
GPX1P2	21
CXADR	21
FABP5P1	13
BORA	13
IGHV1OR21-1	21
KLHL1	13
HSPD1P7	21
MSANTD2P1	21
C1QBPP1	21
RPL10P1	21
LINC00317	21
LINC01689	21
KRT18P2	21
LINC01442	13
NAP1L4P3	13
HNF4GP1	13
RPL12P34	13
HMGN2P39	13
PLA2G12AP2	13
URB1	21
ZDHHC20P4	13
SCEL	13
KRTAP25-1	21
RPSAP68	21
JAM2	21
COX4I1P2	13
EEF1A1P1	21
COLEC12	18
FGFR1OP2P1	13
NPM1P22	13
NIPA2P5	13
RPL31P53	13
RPL18AP17	13
SPATA2P1	13
HSPD1P8	13
RPL8P2	21
RPL21P111	13
MTCL1P1	13
CLDN17	21
FREM2	13
BTF3L4P1	21
RPL37P3	21
THUMPD1P1	21
PPIAP1	21
LLPHP2	21
KRTAP24-1	21
NCSTNP1	21
LINC01892	18
RPS3AP1	21
SCAF4	21
	18
LINC01928	18
SLC25A3P3	18
CTAGE11P	13
PRR20B	13
HNRNPA1P18	13
TBC1D4	13
IMPA2	18
VDAC1P12	13
RPS3AP52	13
CTAGE16P	13
LINC00333	13
PRR20D	13
SPRY2	13
COP1P1	18
PRR20E	13
RAB31	18
UFM1	13
MTND4P1	13
MTCO2P3	13
OR7E111P	13
ZNF415P1	18
KLF5	13
COX6CP3	18
EIF4A1P1	21
YES1	18
LINC00307	21
NCAM2	21
RPL31P54	13
CBY2	13
UBE2D3P4	13
WASF3-AS1	13
RPS4XP18	18
PPIAP57	18
RNGTTP1	21
LINC00377	13
OR4K12P	21
BCAS2P3	13
BOD1P2	18
RABEPKP1	13
UBAC2	13
RPSAP64	21
TPT1P1	21
LINC01423	21
LINC01543	18
CLDN8	21
LINC02943	21
HUNK-AS1	21
NDUFV2	18
HUNK	21
RFC3	13
EIF3FP1	21
C21orf91	21
MPPE1	18
LINC00308	21
ANKRD26P2	13
POU4F1	13
SNX18P12	21
MORC3	21
PSMD10P3	13
SPATA13	13
PAXBP1	21
NHLRC3	13
OLFM4	13
ARF4P3	13
CCT5P2	13
PRR20A	13
LINC01078	13
IPO5	13
CELF4	18
NIPA2P3	21
EPCIP	21
RPL23AP12	21
ITSN1	21
SNRPFP3	13
DIAPH3	13
AKAIN1	18
SLC14A2	18
RALBP1	18
SS18	18
SRSF1P1	13
RPS26P47	13
PCDH17	13
SP3P	13
RPL21P110	13
LINC00440	13
RPS12P24	13
HIGD1AP2	13
HNRNPA1P31	13
SERTM1	13
ELOCP23	13
MTND5P3	13
SLC7A1	13
SLC15A1	13
TPMTP1	18
RPS8P3	18
NPM1P1	18
ANKRD12	18
VENTXP2	13
ATP6V1G1P7	13
FOXO1	13
ARF4P4	13
COG3	13
ARK2N	18
ZBTB7C-AS1	18
SKA1	18
LINC01309	13
SRGNP1	13
